time	Total Usage
1.38E+09	3420.2
1.38E+09	3424.7
1.38E+09	3423.7
1.38E+09	3420.4
1.38E+09	3420.5
1.38E+09	3423.6
1.38E+09	3423.7
1.38E+09	3484.6
1.38E+09	3599.4
1.38E+09	3552.6
1.38E+09	3539.5
1.38E+09	3570.1
1.38E+09	3544.4
1.38E+09	3522.3
1.38E+09	3567.3
1.38E+09	3573
1.38E+09	3536.4
1.38E+09	3553.8
1.38E+09	3549.1
1.38E+09	13602
1.38E+09	3561.9
1.38E+09	3551.1
1.38E+09	3545.1
1.38E+09	3533.4
1.38E+09	3560.5
1.38E+09	3450.9
1.38E+09	3420.7
1.38E+09	3424
1.38E+09	3422.3
1.38E+09	3420.5
1.38E+09	3418.6
1.38E+09	3885.8
1.38E+09	4383.3
1.38E+09	4510.7
1.38E+09	4580.8
1.38E+09	4506.5
1.38E+09	4507.9
1.38E+09	4524.8
1.38E+09	4497.7
1.38E+09	4529.5
1.38E+09	4505.7
1.38E+09	4544.8
1.38E+09	4486.9
1.38E+09	4524.1
1.38E+09	4506.7
1.38E+09	4512.1
1.38E+09	4523.6
1.38E+09	4456.1
1.38E+09	4516.2
1.38E+09	4494.6
1.38E+09	4518.5
1.38E+09	4397.5
1.38E+09	4385.7
1.38E+09	4389.3
1.38E+09	4390.3
1.38E+09	4386.8
1.38E+09	4382
1.38E+09	4380.6
1.38E+09	4382.5
1.38E+09	4546.7
1.38E+09	4580.1
1.38E+09	4556.7
1.38E+09	4538
1.38E+09	4530.3
1.38E+09	4512.9
1.38E+09	4511.8
1.38E+09	4513.7
1.38E+09	4502.2
1.38E+09	4524
1.38E+09	4521.4
1.38E+09	4503.8
1.38E+09	4498.9
1.38E+09	4504.1
1.38E+09	4535.1
1.38E+09	4536.1
1.38E+09	4525.2
1.38E+09	4509.2
1.38E+09	4384.5
1.38E+09	4382.2
1.38E+09	4385.4
1.38E+09	4391.5
1.38E+09	4402.3
1.38E+09	4384.9
1.38E+09	4388.9
1.38E+09	4386.6
1.38E+09	4609.8
1.38E+09	4559.1
1.38E+09	4527
1.38E+09	4535.2
1.38E+09	4541
1.38E+09	4539.6
1.38E+09	4518.1
1.38E+09	4507.8
