time,Total Usage,Microwave,Washing Machine,Oven Unit,Stove Unit,1st Floor AHU,Refrigerator,Dishwasher,PV Solar Generation (1),PV Solar Generation (2)
1.38E+09,3949.9,1.7,296.4,5.4,0.9,378.5,353.8,2.4,0.1,0.1
1.38E+09,3960.5,1.7,307.9,5.5,0.9,378.7,351,2.4,0.1,0.1
1.38E+09,3960.9,1.8,309.5,5.4,0.9,379,349.7,2.4,0.1,0.1
1.38E+09,3965.7,1.8,311.7,5.4,1,378.5,353.8,2.5,0.1,0.1
1.38E+09,3973.2,1.8,314.2,5.5,0.9,379.9,353.3,2.4,0.2,0.1
1.38E+09,3973.8,1.7,319.4,5.5,1,378.7,353,2.4,0.1,0.1
1.38E+09,3705.4,1.8,50.5,5.2,0.8,379,353.3,2.3,0.1,0.1
1.38E+09,3668.9,1.7,9.4,5.4,0.8,379.5,352.6,2.4,0.2,0.1
1.38E+09,3654.5,1.8,9.4,5.3,0.7,379.6,351,2.4,0.1,0.1
1.38E+09,3652.3,1.9,9.4,5.2,0.9,378.5,350.5,2.4,0.1,0.1
1.38E+09,3656.3,1.9,9.4,5.3,0.7,379.8,353.3,2.4,0.1,0.1
1.38E+09,3653,1.9,9.2,5.3,0.8,379,351.5,2.3,0.1,0.1
1.38E+09,3655.2,1.8,9.2,5.3,0.9,378.7,354.2,2.3,0.1,0.1
1.38E+09,3658.7,1.8,9.4,5.2,0.8,379.4,350.7,2.3,0.2,0.1
1.38E+09,3657.9,1.8,9.4,5.4,0.9,379.7,354.6,2.3,0.2,0.1
1.38E+09,3661.7,1.9,9.4,5.3,0.8,379.1,357,2.3,0.1,0.1
1.38E+09,3655.1,1.9,9.3,5.3,0.8,378.8,351.3,2.2,0.1,0.1
1.38E+09,3661.9,1.9,9.2,5.3,0.8,379.3,355.6,2.3,0.1,0.1
1.38E+09,3673.2,1.9,9.3,5.3,0.8,379.3,354.1,2.3,0.1,0.1
1.38E+09,3680.1,1.8,9.5,5.3,0.8,379.2,350.7,2.4,0.1,0.1
1.38E+09,3676,1.8,9.4,5.3,0.8,379.7,348.5,2.3,0.2,0.1
1.38E+09,3662.4,1.8,9.3,5.3,0.8,380.1,352.6,2.3,0.1,0.1
1.38E+09,3659.3,1.8,9.3,5.2,0.9,379.7,352.3,2.4,0.1,0.1
1.38E+09,3659.2,1.8,9.4,5.3,0.7,379.6,352.8,2.3,0.1,0.1
1.38E+09,3659.8,1.9,9.3,5.3,0.8,379.6,350.6,2.3,0.2,0.1
1.38E+09,3659.1,1.8,9.2,5.3,0.8,379.3,351.1,2.4,0.1,0.1
1.38E+09,5066.6,0.2,12,4.5,0.1,376.5,355.4,1.8,0.1,0.1
1.38E+09,4499,0.7,13.3,4.9,0.5,377.2,354.2,2.1,0.2,0.1
1.38E+09,4499.7,0.6,13.5,4.8,0.4,377.8,351.6,2.1,0.1,0.1
1.38E+09,4498.7,0.5,13.4,4.9,0.4,377,353.6,2.1,0.1,0.1
1.38E+09,4498.6,0.8,13.3,4.8,0.4,377.5,353.4,2,0.1,0.1
1.38E+09,4494.9,0.6,13.4,4.9,0.4,377.3,355.9,2.1,0.1,0.1
1.38E+09,4495.7,0.6,13.5,4.8,0.3,377.6,356.4,2.1,0.1,0.1
1.38E+09,4495.7,0.6,13.3,4.9,0.3,378.4,351.5,2.1,0.1,0.1
